Date,Source,Open,High,Low,Close,Adj Close,Volume,Stock
10/23/2017,yahoo,986.72998,986.780029,962.5,966.299988,966.299988,3494100,amazon
10/24/2017,yahoo,969,979.849976,965,975.900024,975.900024,2723900,amazon
10/25/2017,yahoo,978,984.440002,966.23999,972.909973,972.909973,3033100,amazon
10/26/2017,yahoo,980.330017,982.900024,968.549988,972.429993,972.429993,5618700,amazon
10/27/2017,yahoo,1058.140015,1105.579956,1050.550049,1100.949951,1100.949951,16565000,amazon
10/30/2017,yahoo,1095.01001,1122.790039,1093.560059,1110.849976,1110.849976,6613100,amazon
10/31/2017,yahoo,1109,1110.540039,1101.119995,1105.280029,1105.280029,3477000,amazon
11/1/2017,yahoo,1105.400024,1108.969971,1096.73999,1103.680054,1103.680054,3755500,amazon
11/2/2017,yahoo,1097.810059,1101.939941,1086.869995,1094.219971,1094.219971,3684900,amazon
11/3/2017,yahoo,1091.150024,1112.680054,1088.52002,1111.599976,1111.599976,3751500,amazon
11/6/2017,yahoo,1109.150024,1125.410034,1108.77002,1120.660034,1120.660034,3381100,amazon
11/7/2017,yahoo,1124.73999,1130.599976,1117.5,1123.170044,1123.170044,2689000,amazon
11/8/2017,yahoo,1122.819946,1135.540039,1119.109985,1132.880005,1132.880005,2581500,amazon
11/9/2017,yahoo,1125.959961,1129.619995,1115.77002,1129.130005,1129.130005,3732700,amazon
11/10/2017,yahoo,1126.099976,1131.75,1124.060059,1125.349976,1125.349976,2179900,amazon
11/13/2017,yahoo,1123,1139.900024,1122.339966,1129.170044,1129.170044,2918400,amazon
11/14/2017,yahoo,1130.109985,1138,1123.890015,1136.839966,1136.839966,3138400,amazon
11/15/2017,yahoo,1127.01001,1131.75,1121.630005,1126.689941,1126.689941,3928700,amazon
11/16/2017,yahoo,1130.160034,1138.160034,1130.050049,1137.290039,1137.290039,2213300,amazon
11/17/2017,yahoo,1138.280029,1138.800049,1125.810059,1129.880005,1129.880005,2413400,amazon
11/20/2017,yahoo,1129.77002,1133.420044,1122.550049,1126.310059,1126.310059,2163900,amazon
11/21/2017,yahoo,1132.859985,1140,1128.199951,1139.48999,1139.48999,2479400,amazon
11/22/2017,yahoo,1141,1160.27002,1141,1156.160034,1156.160034,3555300,amazon
11/24/2017,yahoo,1160.699951,1186.839966,1160.699951,1186,1186,3528000,amazon
11/27/2017,yahoo,1202.660034,1213.410034,1191.150024,1195.829956,1195.829956,6744000,amazon
11/28/2017,yahoo,1204.880005,1205.339966,1188.52002,1193.599976,1193.599976,4559400,amazon
11/29/2017,yahoo,1194.800049,1194.800049,1145.189941,1161.27002,1161.27002,9257500,amazon
11/30/2017,yahoo,1167.099976,1178.569946,1160,1176.75,1176.75,4509200,amazon
